f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,clase
0.837096,0.0687688,-1.00869,-0.983071,1.13472,-0.908854,-0.286195,-0.307769,-0.379355,-0.703061,-0.145918,-0.216656,-2.22212,-0.301942,0
-0.0426414,-0.573382,0.245075,-0.116443,-0.420053,-0.0653585,0.3992,0.500333,-0.379355,-0.703061,-0.145918,-0.216656,-0.0354289,-0.301942,0
1.05703,-0.573382,0.425795,-0.405319,-1.19744,-0.908854,0.3992,-0.307769,2.92116,-0.703061,-0.145918,-0.216656,-0.0354289,-0.301942,0
-0.775756,-0.573382,1.40815,-0.983071,1.13472,-0.908854,0.0565023,-1.92397,2.92116,1.42231,-0.145918,-0.216656,-0.0354289,1.66887,0
0.763785,-0.573382,-0.280354,1.03906,-1.97483,3.30862,-0.97159,0.500333,2.92116,1.42231,-0.145918,-0.216656,-1.97915,2.65427,0
-0.555822,-0.573382,-1.36426,1.90569,1.52341,0.778137,0.0565023,0.500333,-0.379355,1.42231,1.76112,-0.216656,0.774456,-0.301942,1
0.250604,-0.573382,-0.287346,-0.983071,1.13472,-0.908854,-0.286195,-0.307769,-0.379355,-0.703061,0.555205,-0.216656,-0.0354289,-0.301942,1
-0.115953,-0.573382,0.859172,-0.694195,-0.0313595,-0.908854,-0.286195,-0.307769,2.92116,-0.703061,-0.145918,-0.216656,3.20411,-0.301942,1
-1.14231,-0.573382,-0.639568,-0.983071,1.13472,0.778137,1.08459,-1.11587,-0.379355,1.42231,-0.145918,-0.216656,-0.845314,-0.301942,0
-0.335887,-0.573382,0.527794,1.32794,-2.36352,-0.908854,1.76999,-0.307769,1.2709,-0.703061,-0.145918,-0.216656,0.369514,2.98274,0
-0.99569,0.0687688,-0.123376,-0.116443,-0.420053,0.778137,1.42729,-1.11587,-0.379355,-0.703061,-0.145918,-0.216656,-0.440372,-0.301942,0
-0.48251,-0.573382,-0.0279902,-0.116443,-0.420053,0.778137,0.741897,2.11654,-0.379355,-0.703061,-0.145918,-0.216656,-0.0354289,-0.301942,0
0.323916,0.0687688,0.970125,1.90569,1.52341,-0.0653585,-0.286195,2.11654,-0.379355,1.42231,-0.145918,-0.216656,0.369514,-0.301942,1
1.13034,-0.573382,1.06459,-0.116443,-0.420053,1.62163,-0.97159,2.11654,2.92116,1.42231,-0.145918,-0.216656,-1.6552,-0.301942,0
0.323916,-0.573382,-0.689165,-0.405319,-1.19744,-0.908854,1.76999,-0.307769,-0.379355,-0.703061,-0.145918,4.85084,-0.0354289,-0.301942,0
1.4969,-0.573382,-0.765167,-0.116443,-0.420053,-0.0653585,-1.65698,2.11654,-0.379355,1.42231,-0.145918,-0.216656,-0.0354289,-0.301942,0
1.27696,1.99522,0.256491,-0.983071,1.13472,-0.908854,-1.65698,-0.307769,-0.379355,-0.703061,-0.145918,-0.216656,-0.0354289,-0.301942,1
1.13034,1.67415,-0.090643,-0.694195,-0.0313595,-0.908854,0.570548,-0.307769,0.445774,-0.703061,-0.145918,-0.216656,1.58434,1.3404,1
0.763785,-0.573382,0.0339899,-0.116443,-0.420053,-0.908854,-1.31429,-0.307769,-0.379355,-0.703061,-0.145918,-0.216656,-0.0354289,-0.301942,0
-1.14231,1.99522,0.00881699,0.461309,0.746028,0.778137,2.45538,0.500333,-0.379355,-0.703061,-0.145918,-0.216656,0.936433,-0.301942,0
-1.36225,-0.573382,0.72228,-0.694195,-0.0313595,0.778137,-0.628892,-1.11587,2.92116,-0.703061,-0.145918,-0.216656,0.288525,-0.301942,0
0.470539,-0.573382,1.86795,-0.983071,1.13472,-0.0653585,-0.286195,-1.11587,-0.379355,-0.703061,-0.145918,3.27749,-0.0354289,-0.301942,0
-0.629133,1.35307,-1.23001,-0.694195,-0.0313595,-0.908854,1.08459,-1.11587,-0.379355,-0.703061,-0.145918,-0.216656,-0.0354289,-0.301942,0
