f1,f2,f3,f4,clase
0.968246,-0.968246,0.968246,-0.968246,1
0.968246,-0.968246,-0.968246,0.968246,1
0.968246,-0.968246,-0.968246,-0.968246,1
0.968246,0.968246,0.968246,0.968246,1
0.968246,0.968246,0.968246,-0.968246,0
0.968246,0.968246,-0.968246,0.968246,0
0.968246,0.968246,-0.968246,-0.968246,0
-0.968246,-0.968246,0.968246,0.968246,1
-0.968246,-0.968246,0.968246,-0.968246,0
-0.968246,-0.968246,-0.968246,0.968246,0
-0.968246,-0.968246,-0.968246,-0.968246,0
-0.968246,0.968246,0.968246,0.968246,1
-0.968246,0.968246,0.968246,-0.968246,0
-0.968246,0.968246,-0.968246,0.968246,0
-0.968246,0.968246,-0.968246,-0.968246,0
