f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,clase
0.0307986,0.0445415,-0.101954,0.0593291,0.0600625,0.0623409,0.0592787,0.0616028,0.0596339,0.0603717,0.0588711,-0.465998,0.0688228,0.0573604,0.0700793,1.01901,0.0705918,0.392803,0.0608819,-0.00268619,0.0729507,0.060232,0.941314,0.0591886,0.0600446,0.0834996,0.222292,0.051139,0.0598049,0.054366,0.00685171,0.0617546,0.0622359,0.641297,0.0610523,0.0592816,0.0948981,0.0648873,0.0614236,0.0599114,-0.395342,0.273947,0.0553517,0.0679241,0.0599418,0.0594082,0.0606209,0.0219953,0.0347089,0.0600236,0
0.0296755,0.0468443,-0.539288,0.0592638,0.0601076,0.0647432,0.0695386,0.061465,0.0586993,0.0621342,0.057918,0.628922,0.0617805,0.057123,0.061806,0.531466,0.0669018,-0.102856,0.0609063,-0.0026751,0.0842012,0.0599643,0.410104,0.0782354,0.0610474,0.0717314,-0.933043,0.0521742,0.0594476,0.0663231,0.0115409,0.059745,0.0573262,-0.325074,0.0619189,0.0612942,0.078212,0.0517162,0.0626446,0.0595682,0.0403175,0.420327,0.0415123,0.0220983,0.0599418,0.0589837,0.0587691,0.0222909,0.0353436,0.0591936,0
0.0567384,0.0441273,-0.566933,0.0597435,0.0600546,0.0638846,0.0579889,0.060013,0.055319,0.0600081,0.0582196,-0.199569,0.0654379,0.060847,0.0610398,0.443709,0.062206,-0.229824,0.0594915,-0.00268685,0.0618531,0.0599283,0.345638,0.0515966,0.0610838,0.0677966,0.576704,0.0618404,0.0593576,0.0667476,0.0719909,0.0670978,0.046831,-0.346792,0.0595451,0.0602367,0.0494384,0.0382767,0.0659637,0.0603513,0.624919,0.29945,0.043618,0.0242208,0.0599418,0.0602122,0.0631022,0.0780999,0.0345911,0.0609384,0
0.0356098,0.0468853,-0.492115,0.0592422,0.0600945,0.0637817,0.0662487,0.0612703,0.0594751,0.0607887,0.059834,-0.0814315,0.0674827,0.0583499,0.0683241,0.693224,0.0671409,-0.0126862,0.0610247,-0.00268074,0.0749787,0.0597484,0.465557,0.0898867,0.0608935,0.0660594,-0.618496,0.0530303,0.0605639,0.0599765,0.00347444,0.0649956,0.0573284,0.315129,0.0609546,0.0599372,0.0928694,0.0521759,0.0617861,0.0597693,-0.202532,0.261992,0.0510313,0.0514936,0.0599418,0.0587337,0.0614774,0.0249774,0.037582,0.0597178,0
0.0401374,0.0442337,-0.512276,0.058969,0.0603581,0.0637522,0.0674659,0.0608213,0.0597327,0.060678,0.0633848,1.07751,0.068009,0.0617634,0.0626951,1.09192,0.0687145,-0.322909,0.0598327,-0.0026786,0.0691967,0.0593857,0.519083,0.069574,0.0610161,0.0591981,-0.687105,0.0592932,0.0592028,0.0678768,0.0317126,0.0667397,0.0510783,-1.17772,0.0600741,0.0603102,0.0617899,0.0401582,0.0627391,0.0599923,0.708231,0.646448,0.0427985,0.0529806,0.0600119,0.0591982,0.0550317,0.0336499,0.0277238,0.0607453,0
0.0373986,0.0488341,-0.22236,0.0593909,0.0601695,0.059372,0.065168,0.0598892,0.0605805,0.0605825,0.062543,1.1135,0.0595645,0.0588351,0.0571671,0.379159,0.0629952,-0.17857,0.0603738,-0.00267453,0.0659285,0.0594882,-0.0233528,0.0582123,0.0610064,0.0672742,-0.970975,0.0579636,0.059149,0.0668404,0.0473137,0.0657454,0.0461789,-0.984694,0.0601223,0.0613002,0.0705759,0.0331494,0.0599289,0.0599945,0.174954,0.34874,0.0553801,0.0616297,0.0599418,0.0595809,0.0659248,0.0408686,0.0394907,0.0605205,0
0.0379353,0.0433999,0.00658107,0.0597082,0.0603734,0.0600524,0.0593466,0.0604025,0.0598983,0.0600242,0.0660538,1.4181,0.0687728,0.0636641,0.0559931,0.606417,0.0674144,-0.159664,0.0603161,-0.0026769,0.0813383,0.0602861,0.339916,0.0830955,0.0607666,0.0727608,-0.952597,0.0595153,0.0593667,0.0685816,0.0439409,0.0686365,0.0459218,-2.33636,0.0599701,0.0609435,0.0656912,0.0333754,0.0629632,0.0597153,0.481156,0.515856,0.047935,0.0390731,0.0600812,0.0589026,0.0641448,0.0298943,0.0336949,0.0607147,0
0.0507437,0.0485026,-0.550989,0.0595957,0.0600477,0.0614966,0.0598438,0.060862,0.0543037,0.0606641,0.0584636,-1.06506,0.0661596,0.0572934,0.0801482,0.289625,0.0604316,0.179497,0.0595204,-0.0026806,0.0682344,0.0601673,0.411805,0.0541078,0.0608291,0.0725605,0.799943,0.0588337,0.0599356,0.0778742,0.0336945,0.0684996,0.0632976,1.00998,0.0600022,0.0599447,0.0604404,0.0702348,0.0574502,0.0601844,-0.0753922,0.448215,0.0810914,-0.00979742,0.0599418,0.0603155,0.0662589,0.0520388,0.0461576,0.0609696,0
0.0444333,0.0447122,0.0637208,0.0594162,0.0602471,0.0613257,0.0597335,0.0616626,0.0581352,0.060039,0.0587762,-0.706793,0.0627041,0.0581771,0.0716348,1.03606,0.0677656,0.243625,0.0600542,-0.00268771,0.0745524,0.0602195,1.00014,0.0561078,0.0609533,0.071408,0.0417623,0.0552452,0.0596579,0.0613536,0.0147668,0.0624909,0.0548234,0.786167,0.0606482,0.0592402,0.0847196,0.0609239,0.0668937,0.059791,0.125881,0.940187,0.0403947,0.0314535,0.0599418,0.0597168,0.0571729,0.0300572,0.0419729,0.0588616,0
0.0483156,0.0429649,-0.143438,0.0594942,0.0607498,0.0616815,0.0640801,0.0614534,0.062581,0.0599117,0.0664876,0.482695,0.069012,0.0672808,0.0813604,2.32386,0.0703609,-0.0718586,0.0595198,-0.00269415,0.00524593,0.0596571,1.81079,0.0387369,0.0608467,0.0169373,2.47189,0.0526875,0.0601325,0.0617614,0.0269674,0.0578411,0.0583323,-0.246846,0.0602123,0.0586162,0.0767787,0.0564914,0.0663329,0.0603463,0.502812,-0.185479,0.0347977,0.172249,0.0608674,0.061102,0.0366887,0.0289566,0.0367699,0.0598251,0
