f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,clase
-0.224326,-0.879512,-0.48345,0.355877,-0.209148,0.677971,0.356489,-1.13023,0.590834,0.298184,-1.37307,-1.5724,-0.701266,-1.55216,-1.63245,-0.513948,-0.0476321,-0.101928,-1.66838,-2.28357,0.208091,0.419821,0.207556,0.855349,0.154615,0.91447,-0.0615466,-0.424706,0.212322,0.53492,-0.419887,-0.0978748,0.40651,0.718399,0.480406,-0.751408,-0.567786,0.931421,-0.473832,0.697205,-1.00402,0.728125,0.059947,-1.57636,-1.6945,-1.2577,-0.633079,0.986925,-1.40679,-1.09816,-0.690817,0.40358,0.524323,-1.0899,0.806282,0.976633,0.309766,-0.735134,0.235007,0.85932,-0.000123618,-1.05283,0.666822,0.367587,0.473646,-0.417489,-0.213464,0.534338,-0.910557,0.30912,-0.839136,-0.580749,-1.55075,-1.60005,-1.92665,-0.441683,0.418962,-1.30792,-1.69341,-1.6818,0.612992,0.432182,-0.566827,-0.13219,0.610542,0.499788,-1.12527,0.642465,0.200285,0.301782,-0.811485,-0.575546,0.35817,0.399818,0.554289,-0.28467,0.412548,0.600568,-0.50438,0.593117,-1.10172,0.145584,-1.73724,-1.67152,-1.64035,-0.862791,-0.0349376,1.08514,-1.68544,-1.74548,-1.64878,0.0398204,0.33242,0.319357,0.179236,0.322188,0.528188,0.590405,0.203496,-0.718907,0.344515,0.681966,0.175264,-0.364544,-1.13246,-0.61716,1.01769,0.639144,0.972208,0.733567,-0.346243,-1.09525,0.278477,-1.01649,-1.23929,0.085292,0.556352,-1.03636,0.683768,0.310463,-0.409683,0.915458,0.748638,0.81225,-0.208017,-0.285983,-0.320795,-0.293051,-0.928911,0.363197,0.233378,0.48179,0.219289,-0.860356,0.414064,-1.11523,-0.322832,0.480416,-0.603813,1.16271,0.787049,0.411372,-0.617541,-0.37247,0.0560376,-0.0506846,1
-0.280665,-0.130724,0.164026,-0.874784,-0.209148,0.442221,0.295787,-1.55071,0.618528,0.755952,-1.8138,-2.12557,-0.587342,-1.79922,-1.58143,-0.457328,0.609154,-1.61651,-1.75323,-0.0264462,-0.683009,0.34132,0.323927,0.895889,0.450621,0.894731,0.615152,-0.60091,-1.17384,0.725266,-0.419887,-1.10136,0.544878,0.72686,-1.03252,0.0721393,-0.453154,0.803115,0.490236,0.276153,0.592579,0.161229,0.358423,-1.74615,-1.86122,-1.56547,-0.228422,0.525719,-1.65196,0.776081,-1.89877,0.393925,0.68741,-1.54879,0.307606,0.67959,0.123296,-0.69747,-0.413199,0.475763,-0.784782,-0.793823,0.666822,0.98437,-0.853722,-0.220533,-0.213464,0.500883,0.52044,0.190695,0.386599,0.403888,-2.01562,-2.0714,-0.224554,-0.155463,0.70917,-1.77851,-1.89834,-1.67248,0.165782,0.32988,-0.862514,0.384692,0.591278,0.595461,0.183724,-0.0184999,-1.20802,0.842289,-0.811485,-0.811497,-0.805504,-2.11996,0.185569,0.56817,0.0704893,0.228205,0.336148,-0.0567875,0.572931,-0.0309901,-1.31485,-1.65322,-1.66991,-1.41807,0.394706,0.934731,-1.26743,-1.75713,-1.66986,-0.210925,0.215919,0.494278,0.647749,-0.115396,0.800036,0.472972,0.236713,0.3652,0.598816,0.101396,0.581243,0.455309,-1.19432,-0.281645,0.308926,0.776962,-0.427461,-0.948377,-1.26983,-1.19013,-1.1308,-2.41151,-1.92694,0.312328,0.311448,0.072172,0.757644,0.17059,-0.39521,0.587829,0.00644394,0.0267114,-0.208017,-0.266443,-0.413977,0.055888,0.26246,0.447257,-0.448817,-0.916737,-0.861581,0.309863,-0.1747,-0.12084,-0.29894,-1.04992,1.05423,0.345245,0.906024,0.411372,-0.919926,-0.317993,0.240202,-0.295064,1
-0.487242,0.166589,0.164026,-0.9618,-0.209148,-0.116136,0.399849,-1.53965,0.70161,0.325928,-1.36389,-2.08785,-0.0502702,-1.7498,-1.63245,-0.513948,0.302085,-0.981363,-2.05625,-1.71614,-0.270709,0.331507,-0.0146086,0.23103,0.737377,0.924339,0.353204,-0.262056,0.228074,0.439747,-0.432352,-1.17639,0.00870303,0.76916,-0.806906,-1.62752,-0.567786,0.359877,0.603656,0.684821,0.592579,-0.809034,0.325259,-1.70147,-1.83899,-1.1187,-0.498193,0.780596,-1.92164,-0.67353,-1.61188,0.461509,0.591476,-0.98318,0.794408,0.590477,0.265369,-0.64725,0.105365,0.751138,-0.805431,-0.752048,0.440191,0.0934617,-0.994681,-0.739781,-0.213464,0.31688,-0.0899854,0.512135,0.399639,0.271624,-0.631802,-1.93345,-1.7335,-0.370128,0.642836,-1.55762,-2.09121,-1.6352,0.47457,0.34848,-1.25676,-1.11427,0.427534,0.673738,-0.370535,0.42638,-0.186611,0.414724,-0.811485,-1.44561,-0.901477,0.847256,0.738649,-1.17268,-1.17702,0.128302,0.351713,0.169266,0.605768,-1.09043,-1.59301,-1.65322,-1.69946,-1.10712,-0.0922234,0.969441,-1.69564,-1.79208,-1.65932,-0.290707,0.283878,0.34851,0.403307,1.06155,0.40026,0.762038,0.444316,-0.267196,0.528664,0.983862,0.729771,-1.57275,-1.15897,-1.47692,1.01769,0.577892,1.18644,-0.948377,0.198014,-1.20199,-0.418063,-2.00035,-1.77795,0.231244,0.484922,0.213961,0.567677,-0.326734,-1.13333,0.430082,-0.0513893,-0.0896647,-0.208017,-0.285983,-0.274205,0.357244,0.154154,0.675419,-0.265789,-0.860231,-0.861581,0.192841,-0.844672,-0.213103,-0.334778,0.971979,-0.478677,-0.629974,-0.928167,-1.07143,-0.751935,-0.245357,0.240202,0.172444,1
-0.280665,-0.824454,-1.05735,0.355877,-0.209148,0.677971,0.616645,-1.83841,0.424669,0.298184,-1.83216,-0.340336,-0.717541,-1.54228,-1.63245,-0.528103,0.899163,-1.38851,-0.541159,-2.27096,0.633691,0.331507,0.673042,0.863457,0.154615,0.361796,0.680639,0.198784,0.212322,0.53492,-0.419887,-1.23266,0.268143,0.718399,0.480406,-1.66257,-0.567786,0.126594,-0.998399,0.313304,-0.93306,-1.2124,0.043365,-1.75508,-1.30547,-1.59526,-0.0335863,0.19802,-1.00227,-1.11281,0.290647,0.40358,0.428389,-1.46341,0.806282,-0.449176,0.780382,-0.333381,0.235007,0.85932,0.0308497,-1.1698,0.563808,0.359973,0.473646,-0.632351,-0.213464,-1.13841,-1.21077,-0.841299,-0.943454,-1.00694,-1.78859,-0.990746,-1.92665,-0.441683,0.700878,-1.85534,-0.355385,-1.6818,0.538457,0.441482,0.615922,-0.142527,0.60091,0.569368,-0.299778,-0.831995,0.200285,0.301782,-0.811485,-1.43087,0.370167,0.388043,0.646469,-1.19026,0.382366,0.582404,-1.00247,0.621374,-0.970379,-1.13118,-1.74755,-1.69898,-1.5911,-1.79567,-0.493224,-0.118145,-1.68544,-1.36103,-1.53287,0.712273,0.565421,0.523431,0.179236,0.337277,0.528188,0.725905,0.85122,0.766721,0.353284,0.658743,0.185166,-1.12686,-1.11478,-0.973645,1.00607,0.639144,0.957925,0.733567,-0.0658682,-1.09525,0.0840937,-0.517214,-1.44558,-1.0661,0.617578,-0.546543,0.525462,0.294921,0.574474,0.0539152,0.459471,0.37584,-0.208017,-0.285983,-0.274205,-0.737154,-0.522762,0.519308,0.200101,0.48179,0.219289,-1.22442,-0.925881,-1.39202,-0.322832,0.471142,-0.595992,-1.37573,-0.908338,-1.07143,-0.483148,-0.354311,-0.00973536,0.0874427,1
-0.374564,-0.824454,-1.05735,0.293722,-0.209148,-0.289847,0.616645,-1.88267,0.433901,-0.769942,-1.82298,-0.327764,-2.68681,-1.50275,-1.60184,-0.485638,0.916222,-1.29079,-0.5654,-1.91789,0.646991,0.331507,0.673042,0.0202209,0.154615,0.351926,0.65881,0.158122,0.385592,0.645955,-0.419887,-1.14826,0.285438,1.02296,0.188439,-1.48734,-0.529575,0.126594,-0.998399,0.300921,-0.93306,-1.12519,-1.97964,-1.74615,-1.28324,-1.56547,-0.00361168,0.234431,-1.03904,-1.85958,0.320846,0.393925,0.418796,-1.5061,0.319479,-0.508585,0.771502,-0.345936,0.397058,0.61345,-0.371804,-1.17815,0.378382,0.573181,0.579366,-0.52492,-0.213464,-1.13841,-1.21077,-0.858217,-0.943454,-1.00694,-1.994,-0.967753,-2.20429,-0.298573,0.700878,-1.82653,-0.367439,-1.70976,0.559753,0.460083,0.615922,0.601783,0.379374,0.569368,-0.323364,-0.857416,0.122906,0.390522,-0.811485,-1.43087,0.646089,0.223198,0.738649,-1.16389,0.0604288,0.573322,-1.00247,0.621374,-0.981324,-1.09043,-1.84027,-1.68067,-1.56154,-1.76235,-0.45026,-0.095005,-1.68544,-1.36103,-1.55395,0.72367,0.57513,0.523431,0.566269,0.865395,0.304313,0.716872,0.842916,0.746645,0.38836,0.774857,0.531733,-1.11248,-1.13246,-1.58177,0.738832,0.822901,0.686561,0.662212,0.263985,-1.09525,0.132689,-0.47316,-1.38828,-1.04989,0.627782,-0.520763,0.493801,0.248297,0.560002,0.0539152,0.459471,0.366142,-0.208017,-0.285983,-0.413977,-0.768876,-0.549838,0.495291,0.183462,0.382905,0.337741,-1.22442,-0.753312,-1.38177,-0.275048,1.1853,0.577154,-1.39007,-1.23552,-1.09889,-0.44955,-0.281675,0.0560376,0.321197,1
-0.393343,-0.879512,-0.586457,0.293722,-0.209148,-0.277439,0.347818,-1.08597,0.600065,-0.783813,-1.58426,-1.62269,-2.70308,-1.55216,-1.61204,-0.471483,-0.0135133,-0.118214,-1.64414,-1.9305,0.181491,0.410009,0.228714,0.0202209,0.154615,0.9046,-0.0506321,-0.451814,0.385592,0.653887,-0.419887,-1.14826,0.268143,1.02296,0.188439,-1.48734,-0.529575,0.931421,-0.998399,0.697205,-1.00402,-1.12519,-1.99622,-1.62997,-1.70561,-1.16834,-0.603105,0.986925,-1.38227,-1.87422,-0.766314,0.393925,0.533916,-1.29266,0.319479,0.961781,0.309766,-0.747689,0.413263,0.61345,-0.371804,-1.17815,0.378382,0.580796,0.579366,-0.52492,-0.213464,0.534338,-1.20076,0.30912,-0.839136,-1.00694,-1.95076,-1.63454,-2.20429,-0.298573,0.443837,-1.42317,-1.69341,-1.70044,0.602344,0.432182,-0.566827,0.601783,0.379374,0.491091,-1.12527,0.57891,0.122906,0.390522,-0.811485,-1.43087,0.646089,0.223198,0.738649,-1.16389,0.0604288,0.600568,-0.800122,0.593117,-1.10172,-1.07685,-1.84027,-1.68067,-1.6305,-0.851685,0.0366697,1.10828,-1.69564,-1.75713,-1.65932,0.0284229,0.322711,0.329075,0.566269,0.865395,0.304313,0.554272,0.186888,-0.738983,0.38836,0.774857,0.531733,-1.11248,-1.13246,-1.60274,0.738832,0.822901,0.686561,0.662212,0.263985,-1.09525,0.24608,-1.08991,-1.27367,0.101509,0.546148,-1.03636,0.694321,0.326004,-0.366265,0.927592,0.748638,0.802552,-0.208017,-0.285983,-0.413977,-0.27719,-0.901834,0.375206,0.183462,0.397031,0.337741,-1.21142,-0.743161,-1.38177,-0.275048,1.17602,0.584975,-1.37573,-1.27518,-1.09889,-0.466349,-0.281675,0.0560376,0.321197,1
-0.299445,-0.879512,-0.939626,0.355877,-0.209148,0.677971,0.486567,-1.82734,0.470826,0.312056,-1.4098,-0.503773,-0.717541,-1.3051,-1.63245,-0.542257,0.489738,-0.0856425,-1.28052,-2.27096,0.740091,0.360945,0.292189,0.879673,0.154615,0.855255,-0.181606,0.253001,0.212322,0.53492,-0.419887,-1.22328,0.285438,0.701479,0.467135,-1.66257,-0.567786,0.803115,-1.01258,-0.0953643,-1.08681,-1.2124,0.043365,-1.40656,-1.34993,-1.56547,-0.648067,0.877692,-2.00745,-1.06888,0.260448,0.422889,0.428389,-1.4314,0.806282,0.20432,0.371923,-0.509148,0.235007,0.85932,0.0308497,-1.1698,0.563808,0.352358,0.473646,-0.632351,-0.213464,-0.0343982,-1.21077,-0.739792,-1.07385,-0.99224,-1.44263,-0.887279,-1.93872,-0.441683,0.385795,-1.29831,-0.777286,-1.66316,0.762062,0.394981,0.249833,-0.13219,0.620174,0.699831,-0.983757,0.553489,0.200285,0.301782,-0.811485,-1.41612,0.370167,0.352719,0.646469,-1.19026,0.372305,0.736799,-0.877948,0.206942,-1.10172,-1.13118,-1.74755,-1.52508,-1.53199,-1.32923,-0.65076,0.495068,-1.69564,-1.50083,-1.63825,0.552708,0.555713,0.358228,0.179236,0.322188,0.528188,0.978837,0.693441,0.184515,0.353284,0.658743,0.185166,-1.11248,-1.11478,-0.973645,1.00607,0.631487,0.943643,0.733567,-0.0658682,-1.09525,0.667243,-0.223524,-0.780851,0.0366415,0.862482,-0.211406,0.303834,-0.699727,-0.120225,0.430082,0.372721,0.657082,-0.208017,-0.285983,-0.274205,-1.51434,-1.3486,-0.369323,0.200101,0.48179,0.219289,-1.21142,-0.925881,-1.38177,-0.334778,0.396944,-0.627276,-1.37573,-0.908338,-1.07143,-0.499947,-0.354311,-0.00973536,0.0874427,1
-0.506021,0.287717,0.193456,-0.862353,-0.209148,0.392589,0.45188,-1.77202,0.738535,0.714337,-1.85053,-1.81127,-0.701266,-1.70039,-1.61204,-0.528103,0.191199,-0.72079,-2.15321,0.0239923,0.114991,0.34132,-0.0992425,0.928321,0.450621,0.865124,-0.105205,0.11746,-1.18959,0.733197,-0.419887,-1.19515,0.00870303,0.718399,-0.806906,-1.62752,-0.462706,0.453191,0.717076,0.734357,0.592579,-0.874445,0.275513,-1.73721,-1.76119,-1.60519,-0.678041,0.889829,-2.11777,0.776081,-0.977706,0.538748,0.447576,-1.5061,0.307606,0.308285,0.318646,-0.471484,-0.47802,0.446258,-0.805431,-0.777113,0.440191,0.961526,-0.865468,-0.739781,-0.213464,0.634703,-0.0999924,0.630561,0.412678,0.0952706,-2.10211,-1.79549,-0.248697,-0.370128,0.543337,-1.73049,-1.95861,-1.65384,0.655584,0.32988,-0.932916,0.415705,0.572014,0.673738,-0.0285453,0.553489,-1.20802,0.826154,-0.811485,-1.44561,-0.913473,-2.21416,0.738649,-1.18147,6.55658e-05,0.0828919,0.351713,0.254036,0.605768,-1.06327,-1.39727,-1.70813,-1.68961,-1.40697,-0.421617,0.888451,-1.25723,-1.75713,-1.64878,-0.00576957,0.468337,0.319357,0.647749,-0.009772,0.800036,0.915604,0.618704,0.0941731,0.607585,0.089785,0.561439,-1.55836,-1.15013,-1.49789,0.262449,0.769305,-0.556002,-0.948377,0.198014,-1.20199,-0.045495,-1.53044,-1.65188,0.19881,0.240017,0.32997,0.314388,-0.979472,-1.307,0.842652,0.131749,0.0073154,-0.208017,-0.285983,-0.274205,0.151053,-0.0895359,0.291146,-0.265789,-0.916737,-0.861581,-0.0282002,-0.844672,-0.346372,-0.346724,-1.09629,1.01513,-0.529584,-0.928167,-1.07143,-0.768734,-0.245357,0.240202,0.172444,1
0.770998,-0.824454,-1.05735,0.355877,-0.209148,0.665563,0.616645,-1.83841,0.433901,0.325928,-1.83216,-0.340336,-0.668717,-1.54228,-1.63245,-0.542257,0.899163,-1.38851,-0.541159,-2.27096,0.633691,0.331507,0.683622,0.871565,0.154615,0.361796,0.680639,0.212339,0.196571,0.526989,-0.419887,-0.744984,0.423806,0.701479,0.467135,1.70171,-0.567786,0.126594,-0.899157,0.313304,-0.75566,1.03338,0.0765291,-1.75508,-1.30547,-1.60519,-0.0335863,0.19802,-1.00227,-1.03959,0.290647,0.40358,0.428389,-1.46341,0.794408,-0.449176,0.780382,-0.333381,0.202596,0.85932,-0.000123618,-1.07789,0.666822,0.359973,0.461899,1.58788,-0.213464,-1.13841,0.800635,-0.841299,-0.943454,-0.668926,-1.77778,-1.00224,-1.91457,-0.441683,0.700878,-1.86495,-0.367439,-1.67248,0.538457,0.441482,0.615922,-0.121852,0.610542,0.569368,-0.2644,-0.831995,0.184809,0.293714,-0.811485,0.736926,0.346173,0.388043,0.531244,-0.89133,0.402487,0.582404,-0.986906,0.630792,-0.882815,1.96566,-1.74755,-1.69898,-1.5911,-1.79567,-0.493224,-0.129715,-1.68544,-1.36103,-1.53287,0.72367,0.57513,0.523431,0.179236,0.322188,0.528188,0.725905,0.85122,0.776759,0.344515,0.681966,0.175264,-0.278244,-1.15013,-0.575221,1.00607,0.631487,0.957925,0.723374,-0.395721,-1.09525,0.0678951,-0.517214,-1.45704,-1.04989,0.627782,-0.404754,0.525462,0.294921,0.574474,0.0539152,0.459471,0.37584,-0.208017,-0.266443,-0.274205,-0.737154,-0.482147,0.519308,0.233378,0.48179,0.204483,-0.249242,0.769353,-0.776932,-0.334778,0.434043,-0.635097,0.503001,2.01645,2.42963,-0.65114,-0.354311,0.0823469,-0.0613097,1
0.770998,-0.824454,-1.05735,0.355877,-0.209148,0.665563,0.616645,-1.83841,0.433901,0.325928,-1.83216,-0.340336,-0.668717,-1.54228,-1.63245,-0.542257,0.899163,-1.40479,-0.553279,-2.27096,0.633691,0.331507,0.683622,0.871565,0.154615,0.361796,0.680639,0.212339,0.196571,0.519058,-0.419887,-0.735606,0.423806,0.701479,0.467135,1.66667,-0.567786,0.126594,-0.899157,0.313304,-0.75566,1.06608,0.0765291,-1.75508,-1.30547,-1.60519,-0.0335863,0.19802,-1.00227,-1.02495,0.290647,0.40358,0.428389,-1.46341,0.794408,-0.434324,0.780382,-0.333381,0.202596,0.85932,-0.0414214,-1.06954,0.666822,0.359973,0.473646,1.56998,-0.213464,-1.12169,0.800635,-0.841299,-0.943454,-0.668926,-1.77778,-1.00224,-1.91457,-0.513238,0.700878,-1.86495,-0.367439,-1.67248,0.538457,0.441482,0.615922,-0.121852,0.610542,0.569368,-0.2644,-0.819284,0.184809,0.293714,-0.811485,0.76642,0.346173,0.388043,0.531244,-0.900122,0.402487,0.582404,-0.986906,0.630792,-0.87187,1.97924,-1.74755,-1.69898,-1.5911,-1.79567,-0.493224,-0.129715,-1.68544,-1.36103,-1.53287,0.72367,0.57513,0.533149,0.179236,0.322188,0.528188,0.725905,0.85122,0.776759,0.344515,0.681966,0.175264,-0.30701,-1.15013,-0.596191,1.00607,0.623831,0.957925,0.723374,-0.362736,-1.09525,0.0678951,-0.531898,-1.45704,-1.04989,0.627782,-0.404754,0.525462,0.294921,0.574474,0.0539152,0.459471,0.37584,-0.208017,-0.266443,-0.274205,-0.737154,-0.482147,0.519308,0.233378,0.48179,0.204483,-0.223237,0.820108,-0.100338,-0.334778,0.424768,-0.635097,0.474318,2.00654,2.42963,-0.65114,-0.354311,0.0823469,-0.0613097,1
